1960,38901
1961,38897
1962,40871
1963,42057
1964,42816
1965,44127
1966,41200
1967,43974
1968,42661
1969,43785
1970,43573
1971,45175
1972,48265
1973,48496
1974,50981
1975,51453
1976,53322
1977,53440
1978,51006
1979,57140
1980,57642
1981,64420
1982,57660
1983,63567
1984,70591
1985,68758
1986,61649
1987,61730
1988,63135
1989,60267
1990,55353
1991,52007
1992,53412
1993,52383
1994,52323
1995,53157
1996,53987
1997,56736
1998,59005
1999,61111
2000,59064
2001,55067
2002,55261
2003,54416
2004,55158
2005,56377
2006,53164
2007,56419
2008,54279
2009,49873
2010,47972
2011,40954
2012,36743
2013,33825
2014,30949
2015,33134
2016,31558
2017,27638
2018,29022
