,f1-score,accuracy,precision,recall,prevalecence,rel_found,TP,TN,FP,FN,effort,folder,seed,proportion,recall (total),precision (total),f1-score (total)
0,0.527,0.942,0.909,0.371,0.079,290,229,6432,23,388,209,simulation_tr_80_N_500_seed_24714_proportion_100,24714,100,0.4076335877862595,0.9206896551724137,0.5650793650793651
2,0.66,0.953,0.872,0.532,0.112,420,320,6423,47,282,209,simulation_tr_80_N_500_seed_7096_proportion_0_diversity,7096,0,0.5694656488549619,0.888095238095238,0.693953488372093
10,0.72,0.957,0.832,0.634,0.083,509,390,6378,79,225,209,simulation_tr_80_N_500_seed_6814_proportion_100_diversity,6814,100,0.6564885496183206,0.8447937131630648,0.738831615120275
11,0.734,0.96,0.864,0.638,0.077,493,394,6392,62,224,209,simulation_tr_80_N_500_seed_23493_proportion_25_diversity,23493,25,0.6580152671755726,0.8742393509127789,0.7508710801393728
29,0.714,0.958,0.858,0.612,0.086,479,375,6397,62,238,209,simulation_tr_80_N_500_seed_5524_proportion_50,5524,50,0.6366412213740458,0.8705636743215032,0.7354497354497354
36,0.78,0.963,0.803,0.758,0.098,621,461,6351,113,147,209,simulation_tr_80_N_500_seed_17052_proportion_75,17052,75,0.7755725190839695,0.8180354267310789,0.7962382445141066
47,0.66,0.954,0.896,0.523,0.094,401,319,6425,37,291,209,simulation_tr_80_N_500_seed_21623_proportion_75_diversity,21623,75,0.5557251908396946,0.9077306733167082,0.6893939393939394
53,0.708,0.956,0.819,0.624,0.091,509,381,6377,84,230,209,simulation_tr_80_N_500_seed_27787_proportion_25,27787,25,0.648854961832061,0.8349705304518664,0.7302405498281788
65,0.589,0.947,0.879,0.443,0.104,355,268,6430,37,337,209,simulation_tr_80_N_500_seed_24526_proportion_50_diversity,24526,50,0.4854961832061069,0.895774647887324,0.6297029702970297
70,0.822,0.966,0.758,0.899,0.089,769,551,6283,176,62,209,simulation_tr_80_N_500_seed_20661_proportion_0,20661,0,0.9053435114503817,0.7711313394018205,0.8328651685393258
