,loop_no,relevant_count,irrelevant_count,accuracy,precision,recall,f1,m1_training_time,m1_prediction_time,m1_acc,m1_prec,m1_rec,m1_f1
0,0,5,0,0.4197685766067196,0.12874188821436047,1.0,0.22811572700296734,0.07452869415283203,1.1303021907806396,0.4197685766067196,0.12874188821436047,1.0,0.22811572700296734
1,1,5,10,0.914142119223789,0.0,0.0,0.0,0.10462331771850586,1.1300725936889648,0.914142119223789,0.0,0.0,0.0
2,2,5,20,0.7461205088773941,0.25257519571487436,0.9967479674796748,0.40302432610124916,0.08871150016784668,1.126579999923706,0.7461205088773941,0.25257519571487436,0.9967479674796748,0.40302432610124916
3,3,6,29,0.8331233375332493,0.32506053268765134,0.8745928338762216,0.47396293027360986,0.07974600791931152,1.1225931644439697,0.8331233375332493,0.32506053268765134,0.8745928338762216,0.47396293027360986
4,4,6,39,0.9139212112715548,0.0,0.0,0.0,0.13454270362854004,1.1204657554626465,0.9139212112715548,0.0,0.0,0.0
5,5,7,48,0.9170293415695634,0.5305555555555556,0.31158238172920066,0.39260020554984587,0.08911585807800293,1.124455213546753,0.9170293415695634,0.5305555555555556,0.31158238172920066,0.39260020554984587
6,6,9,56,0.9141009419372979,0.0,0.0,0.0,0.09697985649108887,1.123307466506958,0.9141009419372979,0.0,0.0,0.0
7,7,10,65,0.9141207940306912,0.0,0.0,0.0,0.10544180870056152,1.1224942207336426,0.9141207940306912,0.0,0.0,0.0
8,8,11,74,0.9141407021006627,0.0,0.0,0.0,0.12830042839050293,1.1215264797210693,0.9141407021006627,0.0,0.0,0.0
9,9,11,84,0.8884653395453904,0.4038257173219979,0.6239737274220033,0.49032258064516143,0.10436463356018066,1.115523099899292,0.8884653395453904,0.4038257173219979,0.6239737274220033,0.49032258064516143
10,10,11,94,0.9138979216739714,0.0,0.0,0.0,0.1581096649169922,1.1144709587097168,0.9138979216739714,0.0,0.0,0.0
11,11,11,104,0.9143423474444287,0.55,0.0361247947454844,0.06779661016949153,0.11754536628723145,1.1133129596710205,0.9143423474444287,0.55,0.0361247947454844,0.06779661016949153
12,12,18,107,0.9092584715723806,0.44345238095238093,0.24750830564784054,0.31769722814498935,0.1143488883972168,1.1135826110839844,0.9092584715723806,0.44345238095238093,0.24750830564784054,0.31769722814498935
13,13,20,115,0.9148090302427943,0.0,0.0,0.0,0.11819005012512207,1.1121118068695068,0.9148090302427943,0.0,0.0,0.0
14,14,21,124,0.9148300867339685,0.0,0.0,0.0,0.12580180168151855,1.1076903343200684,0.9148300867339685,0.0,0.0,0.0
15,15,22,133,0.9148512031895202,0.0,0.0,0.0,0.12604856491088867,1.1059072017669678,0.9148512031895202,0.0,0.0,0.0
16,16,23,142,0.9148723798659633,0.0,0.0,0.0,0.276261568069458,1.1048400402069092,0.9148723798659633,0.0,0.0,0.0
17,17,23,152,0.9156075967442525,0.8,0.01340033500837521,0.026359143327841845,0.12894344329833984,1.0995538234710693,0.9156075967442525,0.8,0.01340033500837521,0.026359143327841845
18,18,31,154,0.9157729157729158,0.0,0.0,0.0,0.12782669067382812,1.0956661701202393,0.9157729157729158,0.0,0.0,0.0
19,19,31,164,0.9156522984390663,0.0,0.0,0.0,0.21456074714660645,1.098365306854248,0.9156522984390663,0.0,0.0,0.0
20,20,32,173,0.9189731822744873,0.6825396825396826,0.07312925170068027,0.13210445468509985,0.14599108695983887,1.096865177154541,0.9189731822744873,0.6825396825396826,0.07312925170068027,0.13210445468509985
21,21,39,176,0.9165589544736464,0.0,0.0,0.0,0.2048041820526123,1.1025946140289307,0.9165589544736464,0.0,0.0,0.0
22,22,40,185,0.9165827700273264,0.0,0.0,0.0,0.23356199264526367,1.0971481800079346,0.9165827700273264,0.0,0.0,0.0
