,loop_no,relevant_count,irrelevant_count,accuracy,precision,recall,f1,m1_training_time,m1_prediction_time,m1_acc,m1_prec,m1_rec,m1_f1
0,0,5,0,0.8109577582601422,0.29896907216494845,0.8959349593495934,0.4483319772172498,0.030120372772216797,0.08356142044067383,0.8109577582601422,0.29896907216494845,0.8959349593495934,0.4483319772172498
1,1,5,10,0.914142119223789,0.0,0.0,0.0,0.03347444534301758,0.07993292808532715,0.914142119223789,0.0,0.0,0.0
2,2,5,20,0.9140220886341395,0.0,0.0,0.0,0.03975725173950195,0.07983899116516113,0.9140220886341395,0.0,0.0,0.0
3,3,6,29,0.9113817723645528,0.08695652173913043,0.003257328990228013,0.006279434850863422,0.039577484130859375,0.07967734336853027,0.9113817723645528,0.08695652173913043,0.003257328990228013,0.006279434850863422
4,4,6,39,0.9149025655404458,0.5897435897435898,0.03745928338762215,0.07044410413476264,0.04205489158630371,0.07993292808532715,0.9149025655404458,0.5897435897435898,0.03745928338762215,0.07044410413476264
5,5,13,42,0.914783097009687,0.0,0.0,0.0,0.052790164947509766,0.0791923999786377,0.914783097009687,0.0,0.0,0.0
6,6,13,52,0.9184591592858147,0.5208012326656395,0.556836902800659,0.5382165605095542,0.049067020416259766,0.07962346076965332,0.9184591592858147,0.5208012326656395,0.556836902800659,0.5382165605095542
7,7,20,55,0.9155286498662537,0.0,0.0,0.0,0.05410361289978027,0.07941746711730957,0.9155286498662537,0.0,0.0,0.0
8,8,20,65,0.922458762159876,0.5892857142857143,0.275,0.375,0.05620622634887695,0.07886981964111328,0.922458762159876,0.5892857142857143,0.275,0.375
9,9,27,68,0.7448821120993929,0.2098470363288719,0.7403035413153457,0.3270018621973929,0.08412766456604004,0.07921767234802246,0.7448821120993929,0.2098470363288719,0.7403035413153457,0.3270018621973929
10,10,28,77,0.9247843913473773,0.5581395348837209,0.4864864864864865,0.5198555956678701,0.060285091400146484,0.08017349243164062,0.9247843913473773,0.5581395348837209,0.4864864864864865,0.5198555956678701
11,11,33,82,0.9168908395865779,0.0,0.0,0.0,0.07072877883911133,0.07814860343933105,0.9168908395865779,0.0,0.0,0.0
12,12,34,91,0.8821777966822628,0.36373748609566187,0.5580204778156996,0.44040404040404035,0.07241487503051758,0.07889056205749512,0.8821777966822628,0.36373748609566187,0.5580204778156996,0.44040404040404035
13,13,35,100,0.9179326991338919,0.5228758169934641,0.13675213675213677,0.21680216802168023,0.09926891326904297,0.07858705520629883,0.9179326991338919,0.5228758169934641,0.13675213675213677,0.21680216802168023
14,14,41,104,0.917816010237452,1.0,0.0017271157167530224,0.003448275862068965,0.07377886772155762,0.07857298851013184,0.917816010237452,1.0,0.0017271157167530224,0.003448275862068965
15,15,42,113,0.9176989890360245,0.0,0.0,0.0,0.07712650299072266,0.07835936546325684,0.9176989890360245,0.0,0.0,0.0
16,16,42,123,0.917581634108085,0.0,0.0,0.0,0.07798361778259277,0.07839560508728027,0.917581634108085,0.0,0.0,0.0
17,17,42,133,0.9174639440239897,0.0,0.0,0.0,0.08200359344482422,0.07826828956604004,0.9174639440239897,0.0,0.0,0.0
18,18,43,142,0.9174889174889175,0.0,0.0,0.0,0.09235334396362305,0.07833528518676758,0.9174889174889175,0.0,0.0,0.0
19,19,44,151,0.9173707575540598,0.0,0.0,0.0,0.10341238975524902,0.07830977439880371,0.9173707575540598,0.0,0.0,0.0
