,loop_no,relevant_count,irrelevant_count,accuracy,precision,recall,f1,m1_training_time,m1_prediction_time,m1_acc,m1_prec,m1_rec,m1_f1
0,0,5,0,0.9142618151401087,0.0,0.0,0.0,0.05197334289550781,1.881546974182129,0.9142618151401087,0.0,0.0,0.0
1,1,5,10,0.914142119223789,0.0,0.0,0.0,0.05883526802062988,1.870581865310669,0.914142119223789,0.0,0.0,0.0
2,2,5,20,0.9140220886341395,0.0,0.0,0.0,0.06769990921020508,1.8875644207000732,0.9140220886341395,0.0,0.0,0.0
3,3,6,29,0.9140417191656167,0.0,0.0,0.0,0.07560372352600098,1.887697458267212,0.9140417191656167,0.0,0.0,0.0
4,4,6,39,0.9139212112715548,0.0,0.0,0.0,0.07549214363098145,1.8745784759521484,0.9139212112715548,0.0,0.0,0.0
5,5,7,48,0.9139407552997333,0.0,0.0,0.0,0.07998895645141602,1.8632616996765137,0.9139407552997333,0.0,0.0,0.0
6,6,7,58,0.9138197666244904,0.0,0.0,0.0,0.08386421203613281,1.8721709251403809,0.9138197666244904,0.0,0.0,0.0
7,7,8,67,0.9138392228635788,0.0,0.0,0.0,0.08777809143066406,1.878532886505127,0.9138392228635788,0.0,0.0,0.0
8,8,9,76,0.9138587339630622,0.0,0.0,0.0,0.09038472175598145,1.8545916080474854,0.9138587339630622,0.0,0.0,0.0
9,9,9,86,0.913737117040802,0.0,0.0,0.0,0.09477472305297852,1.867673635482788,0.913737117040802,0.0,0.0,0.0
10,10,9,96,0.9136151562279089,0.0,0.0,0.0,0.09591150283813477,1.8520560264587402,0.9136151562279089,0.0,0.0,0.0
11,11,9,106,0.9134928500637123,0.0,0.0,0.0,0.09947657585144043,1.8615756034851074,0.9134928500637123,0.0,0.0,0.0
12,12,10,115,0.9135119807174252,0.0,0.0,0.0,0.10369372367858887,1.8361842632293701,0.9135119807174252,0.0,0.0,0.0
13,13,11,124,0.9135311656964362,0.0,0.0,0.0,0.11114168167114258,1.8584837913513184,0.9135311656964362,0.0,0.0,0.0
14,14,12,133,0.9135504052324754,0.0,0.0,0.0,0.11243915557861328,1.8391308784484863,0.9135504052324754,0.0,0.0,0.0
15,15,12,143,0.913427310266268,0.0,0.0,0.0,0.11543989181518555,1.8382470607757568,0.913427310266268,0.0,0.0,0.0
16,16,12,153,0.9133038642521032,0.0,0.0,0.0,0.11899328231811523,1.841172456741333,0.9133038642521032,0.0,0.0,0.0
17,17,13,162,0.9133228616307297,0.0,0.0,0.0,0.12164020538330078,1.8318419456481934,0.9133228616307297,0.0,0.0,0.0
18,18,14,171,0.9133419133419134,0.0,0.0,0.0,0.12966609001159668,1.831083059310913,0.9133419133419134,0.0,0.0,0.0
19,19,15,180,0.9133610196190749,0.0,0.0,0.0,0.13359308242797852,1.8136215209960938,0.9133610196190749,0.0,0.0,0.0
20,20,15,190,0.9132367704001148,0.0,0.0,0.0,0.1347968578338623,1.8347115516662598,0.9132367704001148,0.0,0.0,0.0
21,21,15,200,0.9131121642969984,0.0,0.0,0.0,0.13971996307373047,1.8280818462371826,0.9131121642969984,0.0,0.0,0.0
22,22,15,210,0.9129871997698835,0.0,0.0,0.0,0.14618301391601562,1.8169806003570557,0.9129871997698835,0.0,0.0,0.0
23,23,15,220,0.9128618752700561,0.0,0.0,0.0,0.1459028720855713,1.8264284133911133,0.9128618752700561,0.0,0.0,0.0
24,24,15,230,0.9127361892398673,0.0,0.0,0.0,0.15565872192382812,1.8174607753753662,0.9127361892398673,0.0,0.0,0.0
25,25,15,240,0.912610140112668,0.0,0.0,0.0,0.15406465530395508,1.8008780479431152,0.912610140112668,0.0,0.0,0.0
26,26,15,250,0.9124837263127441,0.0,0.0,0.0,0.16139006614685059,1.8180925846099854,0.9124837263127441,0.0,0.0,0.0
27,27,16,259,0.9125018108068955,0.0,0.0,0.0,0.16303324699401855,1.797778606414795,0.9125018108068955,0.0,0.0,0.0
28,28,17,268,0.9125199477731032,0.0,0.0,0.0,0.1571941375732422,1.8091893196105957,0.9125199477731032,0.0,0.0,0.0
29,29,17,278,0.9123928519540898,0.0,0.0,0.0,0.17289447784423828,1.7974107265472412,0.9123928519540898,0.0,0.0,0.0
30,30,18,287,0.9124108831660119,0.0,0.0,0.0,0.16429638862609863,1.806879997253418,0.9124108831660119,0.0,0.0,0.0
31,31,18,297,0.9122832580504153,0.0,0.0,0.0,0.17436003684997559,1.7857766151428223,0.9122832580504153,0.0,0.0,0.0
32,32,19,306,0.9123011819641033,0.0,0.0,0.0,0.18648290634155273,1.804394006729126,0.9123011819641033,0.0,0.0,0.0
33,33,20,315,0.9123191582639193,0.0,0.0,0.0,0.18636250495910645,1.8078007698059082,0.9123191582639193,0.0,0.0,0.0
34,34,21,324,0.9123371871798625,0.0,0.0,0.0,0.18868565559387207,1.778534173965454,0.9123371871798625,0.0,0.0,0.0
35,35,22,333,0.9123552689432801,0.0,0.0,0.0,0.19420099258422852,1.7929635047912598,0.9123552689432801,0.0,0.0,0.0
36,36,23,342,0.912373403786878,0.0,0.0,0.0,0.20587801933288574,1.7803335189819336,0.912373403786878,0.0,0.0,0.0
37,37,24,351,0.9123915919447303,0.0,0.0,0.0,0.2073061466217041,1.7912914752960205,0.9123915919447303,0.0,0.0,0.0
38,38,24,361,0.9122626232886796,0.0,0.0,0.0,0.20142149925231934,1.7770488262176514,0.9122626232886796,0.0,0.0,0.0
39,39,24,371,0.9121332743623766,0.0,0.0,0.0,0.1974020004272461,1.7843260765075684,0.9121332743623766,0.0,0.0,0.0
40,40,24,381,0.9120035434814705,0.0,0.0,0.0,0.2088606357574463,1.781374216079712,0.9120035434814705,0.0,0.0,0.0
41,41,24,391,0.9118734289516487,0.0,0.0,0.0,0.2135317325592041,1.7737014293670654,0.9118734289516487,0.0,0.0,0.0
42,42,25,400,0.9118910114023397,0.0,0.0,0.0,0.22423362731933594,1.7640397548675537,0.9118910114023397,0.0,0.0,0.0
43,43,25,410,0.9117603440605072,0.0,0.0,0.0,0.22530603408813477,1.7739317417144775,0.9117603440605072,0.0,0.0,0.0
44,44,26,419,0.911777810782712,0.0,0.0,0.0,0.22854065895080566,1.752990961074829,0.911777810782712,0.0,0.0,0.0
45,45,26,429,0.9116465863453815,0.0,0.0,0.0,0.23541045188903809,1.763681411743164,0.9116465863453815,0.0,0.0,0.0
46,46,26,439,0.9115149709518844,0.0,0.0,0.0,0.23544573783874512,1.7679953575134277,0.9115149709518844,0.0,0.0,0.0
47,47,26,449,0.9113829628524541,0.0,0.0,0.0,0.24326252937316895,1.7505137920379639,0.9113829628524541,0.0,0.0,0.0
