,loop_no,relevant_count,irrelevant_count,accuracy,precision,recall,f1,m1_training_time,m1_prediction_time,m1_acc,m1_prec,m1_rec,m1_f1,m2_training_time,m2_prediction_time,m2_acc,m2_prec,m2_rec,m2_f1,m3_training_time,m3_prediction_time,m3_acc,m3_prec,m3_rec,m3_f1
0,0,5,0,0.9142618151401087,0.0,0.0,0.0,0.032643795013427734,1.1132464408874512,0.9142618151401087,0.0,0.0,0.0,0.06818866729736328,1.1387314796447754,0.4197685766067196,0.12874188821436047,1.0,0.22811572700296734,0.030009031295776367,0.08213567733764648,0.8109577582601422,0.29896907216494845,0.8959349593495934,0.4483319772172498
1,1,5,10,0.914142119223789,0.0,0.0,0.0,0.037735939025878906,1.115617036819458,0.914142119223789,0.0,0.0,0.0,0.09282755851745605,1.146815538406372,0.914142119223789,0.0,0.0,0.0,0.03259396553039551,0.08172607421875,0.914142119223789,0.0,0.0,0.0
2,2,5,20,0.9140220886341395,0.0,0.0,0.0,0.04344511032104492,1.1266472339630127,0.9140220886341395,0.0,0.0,0.0,0.10803747177124023,1.1378953456878662,0.4263945197819097,0.13035184400169564,1.0,0.2306394149634352,0.038949012756347656,0.08252668380737305,0.9140220886341395,0.0,0.0,0.0
3,3,6,29,0.9140417191656167,0.0,0.0,0.0,0.04742932319641113,1.127237319946289,0.9140417191656167,0.0,0.0,0.0,0.09231877326965332,1.1454768180847168,0.9080218395632087,0.47174770039421815,0.5846905537459284,0.5221818181818182,0.03845572471618652,0.08190703392028809,0.9109617807643847,0.2708333333333333,0.021172638436482084,0.039274924471299086
4,4,6,39,0.9139212112715548,0.0,0.0,0.0,0.04892897605895996,1.1106204986572266,0.9139212112715548,0.0,0.0,0.0,0.17458081245422363,1.1323676109313965,0.7267629328473293,0.23030303030303031,0.9283387622149837,0.3690514729685983,0.04502463340759277,0.08220243453979492,0.9151829524744147,0.5671641791044776,0.06188925081433225,0.11160058737151247
5,5,7,48,0.9139407552997333,0.0,0.0,0.0,0.05211615562438965,1.1281578540802002,0.9139407552997333,0.0,0.0,0.0,0.10626626014709473,1.1335089206695557,0.8886705040011231,0.4233390119250426,0.8107667210440457,0.5562395075545608,0.051146745681762695,0.0815134048461914,0.9139407552997333,0.0,0.0,0.0
6,6,7,58,0.9138197666244904,0.0,0.0,0.0,0.05508303642272949,1.1076436042785645,0.9138197666244904,0.0,0.0,0.0,0.10128664970397949,1.1267213821411133,0.7619850977084212,0.2635726795096322,0.9820554649265906,0.4156023472557819,0.04849696159362793,0.08164167404174805,0.9195838605370449,0.533442088091354,0.533442088091354,0.533442088091354
7,7,8,67,0.9138392228635788,0.0,0.0,0.0,0.05739283561706543,1.128641128540039,0.9138392228635788,0.0,0.0,0.0,0.11020135879516602,1.1271121501922607,0.9138392228635788,0.0,0.0,0.0,0.05352973937988281,0.08168673515319824,0.9138392228635788,0.0,0.0,0.0
8,8,9,76,0.9138587339630622,0.0,0.0,0.0,0.06142830848693848,1.1067531108856201,0.9138587339630622,0.0,0.0,0.0,0.11114668846130371,1.1262331008911133,0.9138587339630622,0.0,0.0,0.0,0.05361032485961914,0.08131551742553711,0.9130128295502609,0.46153846153846156,0.058919803600654665,0.10449927431059508
9,9,9,86,0.913737117040802,0.0,0.0,0.0,0.061020851135253906,1.111006498336792,0.913737117040802,0.0,0.0,0.0,0.13331151008605957,1.1292247772216797,0.913737117040802,0.0,0.0,0.0,0.07793402671813965,0.08202052116394043,0.7484116899618806,0.19135477069056406,0.5941080196399345,0.2894736842105263
10,10,9,96,0.9136151562279089,0.0,0.0,0.0,0.061904191970825195,1.1114344596862793,0.9136151562279089,0.0,0.0,0.0,0.11952614784240723,1.124077320098877,0.9064046373533154,0.4578512396694215,0.4533551554828151,0.4555921052631579,0.06339168548583984,0.08287501335144043,0.9206842923794712,0.5468164794007491,0.4779050736497545,0.5100436681222708
11,11,9,106,0.9134928500637123,0.0,0.0,0.0,0.06479763984680176,1.1058402061462402,0.9134928500637123,0.0,0.0,0.0,0.15756559371948242,1.1229784488677979,0.9134928500637123,0.0,0.0,0.0,0.06796097755432129,0.08108353614807129,0.9134928500637123,0.0,0.0,0.0
12,12,10,115,0.9135119807174252,0.0,0.0,0.0,0.0666511058807373,1.0981903076171875,0.9135119807174252,0.0,0.0,0.0,0.19545602798461914,1.1200158596038818,0.8643130582730753,0.36925395629238883,0.8032786885245902,0.5059370160041301,0.07472944259643555,0.0814201831817627,0.8735289947540054,0.2696078431372549,0.27049180327868855,0.2700490998363339
13,13,11,124,0.9135311656964362,0.0,0.0,0.0,0.0712134838104248,1.102973222732544,0.9135311656964362,0.0,0.0,0.0,0.1481618881225586,1.118859052658081,0.896918926593781,0.41630901287553645,0.47783251231527096,0.44495412844036697,0.06947708129882812,0.08113765716552734,0.9133891807468408,0.0,0.0,0.0
14,14,12,133,0.9135504052324754,0.0,0.0,0.0,0.07380485534667969,1.096817970275879,0.9135504052324754,0.0,0.0,0.0,0.24372529983520508,1.1207244396209717,0.8744490260201905,0.3868312757201646,0.7730263157894737,0.5156335710367526,0.07404494285583496,0.08120536804199219,0.9135504052324754,0.0,0.0,0.0
15,15,12,143,0.913427310266268,0.0,0.0,0.0,0.07506632804870605,1.0938801765441895,0.913427310266268,0.0,0.0,0.0,0.1800844669342041,1.117760181427002,0.9135696995585932,0.5454545454545454,0.009868421052631578,0.019386106623586433,0.08482480049133301,0.08159089088439941,0.913427310266268,0.0,0.0,0.0
16,16,12,153,0.9133038642521032,0.0,0.0,0.0,0.07824397087097168,1.0953083038330078,0.9133038642521032,0.0,0.0,0.0,0.24761152267456055,1.122084140777588,0.9073149864537288,0.4634146341463415,0.4375,0.4500846023688664,0.08220458030700684,0.08093929290771484,0.9307001283330957,0.6297872340425532,0.4868421052631579,0.549165120593692
17,17,13,162,0.9133228616307297,0.0,0.0,0.0,0.16472482681274414,1.2364797592163086,0.9133228616307297,0.0,0.0,0.0,0.15613389015197754,1.4501008987426758,0.9076110238469227,0.4186991869918699,0.1696869851729819,0.2415005861664713,0.09383440017700195,0.12829256057739258,0.9133228616307297,0.0,0.0,0.0
18,18,14,171,0.9133419133419134,0.0,0.0,0.0,0.08331656455993652,1.2583916187286377,0.9133419133419134,0.0,0.0,0.0,0.21088647842407227,1.125436544418335,0.9133419133419134,0.0,0.0,0.0,0.0995030403137207,0.08047223091125488,0.9136279136279136,0.5333333333333333,0.026402640264026403,0.050314465408805034
