,loop_no,relevant_count,irrelevant_count,accuracy,precision,recall,f1,m1_training_time,m1_prediction_time,m1_acc,m1_prec,m1_rec,m1_f1,m2_training_time,m2_prediction_time,m2_acc,m2_prec,m2_rec,m2_f1,m3_training_time,m3_prediction_time,m3_acc,m3_prec,m3_rec,m3_f1
0,0,5,0,0.9142618151401087,0.0,0.0,0.0,0.032341957092285156,1.1067445278167725,0.9142618151401087,0.0,0.0,0.0,0.07175040245056152,1.126455545425415,0.4197685766067196,0.12874188821436047,1.0,0.22811572700296734,0.02983403205871582,0.08318400382995605,0.8109577582601422,0.29896907216494845,0.8959349593495934,0.4483319772172498
1,1,5,10,0.914142119223789,0.0,0.0,0.0,0.041600704193115234,1.1041412353515625,0.914142119223789,0.0,0.0,0.0,0.21176576614379883,1.540889024734497,0.914142119223789,0.0,0.0,0.0,0.05807375907897949,0.0892019271850586,0.914142119223789,0.0,0.0,0.0
2,2,5,20,0.9140220886341395,0.0,0.0,0.0,0.06938004493713379,1.158695936203003,0.9140220886341395,0.0,0.0,0.0,0.14473581314086914,1.3956093788146973,0.8283237802320704,0.323342939481268,0.9121951219512195,0.47744680851063825,0.06565451622009277,0.1042172908782959,0.9140220886341395,0.0,0.0,0.0
3,3,6,29,0.9140417191656167,0.0,0.0,0.0,0.07799530029296875,1.9979925155639648,0.9140417191656167,0.0,0.0,0.0,0.14731264114379883,1.7888948917388916,0.6043679126417472,0.17848837209302326,1.0,0.302910705476073,0.06273841857910156,0.1413121223449707,0.9111017779644407,0.26666666666666666,0.019543973941368076,0.03641881638846737
4,4,6,39,0.9139212112715548,0.0,0.0,0.0,0.15886306762695312,1.7102601528167725,0.9139212112715548,0.0,0.0,0.0,0.3835175037384033,1.2476575374603271,0.9139212112715548,0.0,0.0,0.0,0.05520796775817871,0.08297562599182129,0.9153231459413992,0.5735294117647058,0.06351791530944625,0.11436950146627566
5,5,7,48,0.9139407552997333,0.0,0.0,0.0,0.07669806480407715,1.576101541519165,0.9139407552997333,0.0,0.0,0.0,0.13843965530395508,1.3898725509643555,0.8822125508914783,0.41439393939393937,0.8923327895595432,0.5659596482152095,0.05832386016845703,0.1007070541381836,0.9139407552997333,0.0,0.0,0.0
6,6,7,58,0.9138197666244904,0.0,0.0,0.0,0.0933833122253418,1.2439393997192383,0.9138197666244904,0.0,0.0,0.0,0.15093517303466797,1.5100150108337402,0.9138197666244904,0.0,0.0,0.0,0.08393073081970215,0.1555323600769043,0.7238858428230002,0.2362358453729012,0.9869494290375204,0.3812224322621298
7,7,8,67,0.9138392228635788,0.0,0.0,0.0,0.05679440498352051,1.3937740325927734,0.9138392228635788,0.0,0.0,0.0,0.10930967330932617,1.1938235759735107,0.9138392228635788,0.0,0.0,0.0,0.05610156059265137,0.0829782485961914,0.8430240743347881,0.34821967410983706,0.9428104575163399,0.5085940943146761
8,8,9,76,0.9138587339630622,0.0,0.0,0.0,0.05968737602233887,1.1005010604858398,0.9138587339630622,0.0,0.0,0.0,0.11699628829956055,1.1198723316192627,0.9138587339630622,0.0,0.0,0.0,0.05926918983459473,0.08233237266540527,0.914986606513464,0.5047846889952153,0.690671031096563,0.5832757429163787
9,9,9,86,0.913737117040802,0.0,0.0,0.0,0.061223506927490234,1.104107141494751,0.913737117040802,0.0,0.0,0.0,0.1792316436767578,1.12015700340271,0.913737117040802,0.0,0.0,0.0,0.0667417049407959,0.0824735164642334,0.9116193703233093,0.14285714285714285,0.004909983633387889,0.00949367088607595
10,10,9,96,0.9136151562279089,0.0,0.0,0.0,0.06149005889892578,1.0947003364562988,0.9136151562279089,0.0,0.0,0.0,0.11520528793334961,1.117530107498169,0.9109288844903153,0.4306569343065693,0.09656301145662848,0.15775401069518716,0.06353235244750977,0.08184218406677246,0.9220981196097837,0.6485148514851485,0.2144026186579378,0.3222632226322263
11,11,9,106,0.9134928500637123,0.0,0.0,0.0,0.10880374908447266,1.0969882011413574,0.9134928500637123,0.0,0.0,0.0,0.2787024974822998,1.1163854598999023,0.9134928500637123,0.0,0.0,0.0,0.09355878829956055,0.08174490928649902,0.9134928500637123,0.0,0.0,0.0
12,12,10,115,0.9135119807174252,0.0,0.0,0.0,0.0681314468383789,1.4015398025512695,0.9135119807174252,0.0,0.0,0.0,0.13457345962524414,1.1910130977630615,0.9135119807174252,0.0,0.0,0.0,0.07330679893493652,0.0818181037902832,0.9135119807174252,0.0,0.0,0.0
13,13,11,124,0.9135311656964362,0.0,0.0,0.0,0.197892427444458,1.2007827758789062,0.9135311656964362,0.0,0.0,0.0,0.466855525970459,1.493004322052002,0.9135311656964362,0.0,0.0,0.0,0.10984206199645996,0.11815786361694336,0.9131052108476502,0.0,0.0,0.0
14,14,12,133,0.9135504052324754,0.0,0.0,0.0,0.0716254711151123,1.3779833316802979,0.9135504052324754,0.0,0.0,0.0,0.13190507888793945,1.1269776821136475,0.9016067112185412,0.42526690391459077,0.3930921052631579,0.40854700854700854,0.07535052299499512,0.08164262771606445,0.9118441632304849,0.125,0.003289473684210526,0.006410256410256409
15,15,12,143,0.913427310266268,0.0,0.0,0.0,0.07312798500061035,1.0836997032165527,0.913427310266268,0.0,0.0,0.0,0.18761277198791504,1.1044206619262695,0.913427310266268,0.0,0.0,0.0,0.07585525512695312,0.08074116706848145,0.9195500498362523,0.6747967479674797,0.13651315789473684,0.22708618331053348
16,16,12,153,0.9133038642521032,0.0,0.0,0.0,0.07565164566040039,1.274674654006958,0.9133038642521032,0.0,0.0,0.0,0.1400456428527832,1.107783555984497,0.8850705832026237,0.3979381443298969,0.6348684210526315,0.4892268694550062,0.08109521865844727,0.08124327659606934,0.924853842863254,0.5669421487603306,0.5641447368421053,0.5655399835119539
17,17,13,162,0.9133228616307297,0.0,0.0,0.0,0.07724356651306152,1.0807082653045654,0.9133228616307297,0.0,0.0,0.0,0.1464238166809082,1.1002578735351562,0.9133228616307297,0.0,0.0,0.0,0.09642267227172852,0.0820460319519043,0.9130372697415393,0.0,0.0,0.0
18,18,14,171,0.9133419133419134,0.0,0.0,0.0,0.08439278602600098,1.07806396484375,0.9133419133419134,0.0,0.0,0.0,0.17152643203735352,1.1088409423828125,0.9133419133419134,0.0,0.0,0.0,0.09646773338317871,0.08393740653991699,0.9114829114829115,0.48059701492537316,0.26567656765676567,0.3421891604675877
19,19,15,180,0.9133610196190749,0.0,0.0,0.0,0.11858224868774414,1.1004838943481445,0.9133610196190749,0.0,0.0,0.0,0.20557451248168945,1.3573944568634033,0.8924531003866533,0.375,0.36198347107438017,0.3683767872161481,0.09027099609375,0.09828686714172363,0.9125017900615782,0.25,0.0049586776859504135,0.009724473257698542
20,20,15,190,0.9132367704001148,0.0,0.0,0.0,0.08534979820251465,1.0944468975067139,0.9132367704001148,0.0,0.0,0.0,0.15569496154785156,1.097163438796997,0.9132367704001148,0.0,0.0,0.0,0.09126496315002441,0.08066177368164062,0.9132367704001148,0.0,0.0,0.0
21,21,15,200,0.9131121642969984,0.0,0.0,0.0,0.08980417251586914,1.0701689720153809,0.9131121642969984,0.0,0.0,0.0,0.30776047706604004,1.0926008224487305,0.9131121642969984,0.0,0.0,0.0,0.10445594787597656,0.08034753799438477,0.9123940830101968,0.0,0.0,0.0
22,22,15,210,0.9129871997698835,0.0,0.0,0.0,0.09031820297241211,1.0780837535858154,0.9129871997698835,0.0,0.0,0.0,0.2831861972808838,1.0982224941253662,0.8915576010355243,0.3808,0.3933884297520661,0.3869918699186992,0.11075735092163086,0.08071684837341309,0.9129871997698835,0.0,0.0,0.0
23,23,15,220,0.9128618752700561,0.0,0.0,0.0,0.09255361557006836,1.0718626976013184,0.9128618752700561,0.0,0.0,0.0,0.2401115894317627,1.0969488620758057,0.9096932161889673,0.45089285714285715,0.1669421487603306,0.24366706875753924,0.1159515380859375,0.0802602767944336,0.9212156128474722,0.5478547854785478,0.5487603305785124,0.5483071841453343
24,24,15,230,0.9127361892398673,0.0,0.0,0.0,0.09846806526184082,1.0732829570770264,0.9127361892398673,0.0,0.0,0.0,0.22647595405578613,1.0954031944274902,0.8873503533823741,0.36585365853658536,0.39669421487603307,0.38065027755749403,0.1143183708190918,0.08034801483154297,0.9127361892398673,0.0,0.0,0.0
