,loop_no,relevant_count,irrelevant_count,accuracy,precision,recall,f1,m1_training_time,m1_prediction_time,m1_acc,m1_prec,m1_rec,m1_f1,m2_training_time,m2_prediction_time,m2_acc,m2_prec,m2_rec,m2_f1,m3_training_time,m3_prediction_time,m3_acc,m3_prec,m3_rec,m3_f1
0,0,5,0,0.9142618151401087,0.0,0.0,0.0,0.03317880630493164,1.403158187866211,0.9142618151401087,0.0,0.0,0.0,0.07530426979064941,1.150120496749878,0.4197685766067196,0.12874188821436047,1.0,0.22811572700296734,0.03956794738769531,0.08276605606079102,0.8109577582601422,0.29896907216494845,0.8959349593495934,0.4483319772172498
1,1,6,9,0.9142817255339941,0.0,0.0,0.0,0.03926539421081543,1.1120569705963135,0.916096607566662,0.8421052631578947,0.026058631921824105,0.05055292259083728,0.12633109092712402,1.1201605796813965,0.9142817255339941,0.0,0.0,0.0,0.03218722343444824,0.08278250694274902,0.9153985760156359,1.0,0.013029315960912053,0.02572347266881029
2,2,6,19,0.9141618901160352,0.0,0.0,0.0,0.044098615646362305,1.0988388061523438,0.9141618901160352,0.0,0.0,0.0,0.0865786075592041,1.1188437938690186,0.913323081224661,0.497196261682243,0.8664495114006515,0.6318289786223278,0.035411834716796875,0.08255743980407715,0.9141618901160352,0.0,0.0,0.0
3,3,6,29,0.9140417191656167,0.0,0.0,0.0,0.04593086242675781,1.0987040996551514,0.9140417191656167,0.0,0.0,0.0,0.08885717391967773,1.1159882545471191,0.9140417191656167,0.0,0.0,0.0,0.038116455078125,0.0824894905090332,0.9140417191656167,0.0,0.0,0.0
4,4,9,36,0.9143417916725081,0.0,0.0,0.0,0.0490727424621582,1.0988926887512207,0.9143417916725081,0.0,0.0,0.0,0.09041500091552734,1.1174254417419434,0.9143417916725081,0.0,0.0,0.0,0.04135560989379883,0.08253812789916992,0.9143417916725081,0.0,0.0,0.0
5,5,11,44,0.9145023164397024,0.0,0.0,0.0,0.053287506103515625,1.0926249027252197,0.9145023164397024,0.0,0.0,0.0,0.10079336166381836,1.1138942241668701,0.9145023164397024,0.0,0.0,0.0,0.0549619197845459,0.08260083198547363,0.9145023164397024,0.0,0.0,0.0
6,6,12,53,0.9145227049065092,0.0,0.0,0.0,0.05591177940368652,1.0910944938659668,0.9145227049065092,0.0,0.0,0.0,0.11296463012695312,1.2845873832702637,0.9145227049065092,0.0,0.0,0.0,0.04722404479980469,0.08228421211242676,0.8779699142415296,0.4108367626886145,0.9851973684210527,0.579864472410455
7,7,14,61,0.9146839363649162,0.0,0.0,0.0,0.05756735801696777,1.0921192169189453,0.9148247219484725,1.0,0.0016501650165016502,0.0032948929159802303,0.10469341278076172,1.11161208152771,0.7975503308461214,0.2958783120706575,0.995049504950495,0.45612708018154313,0.05400419235229492,0.08240103721618652,0.9146839363649162,0.0,0.0,0.0
8,8,15,70,0.9147046383758636,0.0,0.0,0.0,0.06969332695007324,1.0921499729156494,0.9147046383758636,0.0,0.0,0.0,0.22406888008117676,1.2213306427001953,0.9147046383758636,0.0,0.0,0.0,0.09284090995788574,0.08628964424133301,0.9147046383758636,0.0,0.0,0.0
9,9,16,79,0.9209374558802768,0.9074074074074074,0.08112582781456953,0.14893617021276595,0.06433439254760742,1.13029146194458,0.9148665819567979,1.0,0.0016556291390728477,0.0033057851239669425,0.14081048965454102,1.112076759338379,0.9126076521248059,0.49373433583959897,0.9784768211920529,0.6563020544142143,0.05632805824279785,0.08231544494628906,0.9145842157277989,0.0,0.0,0.0
10,10,16,89,0.9146048352891276,0.0,0.0,0.0,0.06564450263977051,1.0879185199737549,0.9146048352891276,0.0,0.0,0.0,0.18817639350891113,1.1054933071136475,0.877986710024035,0.40456890198968315,0.9089403973509934,0.5599184089750128,0.06409025192260742,0.08229923248291016,0.9146048352891276,0.0,0.0,0.0
11,11,17,98,0.9236868186323092,0.9102564102564102,0.11774461028192372,0.20851688693098389,0.06696701049804688,1.0865471363067627,0.914908679031573,1.0,0.003316749585406302,0.006611570247933884,0.2581942081451416,1.1031904220581055,0.79258105620841,0.2909796314258002,0.9950248756218906,0.45028142589118203,0.06386494636535645,0.08197426795959473,0.9146255132380009,0.0,0.0,0.0
12,12,17,108,0.9208847299021693,0.9090909090909091,0.08291873963515754,0.1519756838905775,0.07024979591369629,1.084123134613037,0.9146462498227704,1.0,0.001658374792703151,0.003311258278145695,0.1632251739501953,1.1061277389526367,0.9347795264426485,0.5802469135802469,0.857379767827529,0.6921017402945114,0.06704878807067871,0.08197426795959473,0.9145044661846023,0.0,0.0,0.0
13,13,18,117,0.9146670452931989,1.0,0.0016611295681063123,0.0033167495854063015,0.07186388969421387,1.083181619644165,0.9146670452931989,1.0,0.0016611295681063123,0.0033167495854063015,0.13848471641540527,1.1021451950073242,0.8901036490132046,0.4286898839137645,0.8588039867109635,0.5719026548672568,0.07816672325134277,0.08141660690307617,0.9145250603436036,0.0,0.0,0.0
14,14,18,127,0.9144035262334708,0.0,0.0,0.0,0.07431912422180176,1.1226563453674316,0.9144035262334708,0.0,0.0,0.0,0.20226836204528809,1.102449893951416,0.9144035262334708,0.0,0.0,0.0,0.0761115550994873,0.08145332336425781,0.9125550973979809,0.3142857142857143,0.018272425249169437,0.03453689167974883
15,15,18,137,0.9151359817741705,1.0,0.009966777408637873,0.019736842105263157,0.07826495170593262,1.0811350345611572,0.9142816460202193,0.0,0.0,0.0,0.20577025413513184,1.1028718948364258,0.8920689164174854,0.42985611510791366,0.7940199335548173,0.5577596266044341,0.07928943634033203,0.08131098747253418,0.9233945607290331,0.634453781512605,0.25083056478405313,0.35952380952380947
16,16,18,147,0.9143020105518324,1.0,0.0016611295681063123,0.0033167495854063015,0.07751655578613281,1.0809669494628906,0.9141594182232996,0.0,0.0,0.0,0.30533766746520996,1.0960118770599365,0.9143020105518324,0.5005959475566151,0.6976744186046512,0.5829285218598197,0.0817563533782959,0.08144021034240723,0.9262797661485812,0.5596072931276297,0.6627906976744186,0.6068441064638782
