folder,URL
1920-1951 DP,http://www.proquest.com/hnpglobeandmail/docview/1291367156/abstract/3AB7EAF2A297403DPQ/20
1920-1951 DP,http://www.proquest.com/hnpglobeandmail/docview/1325797051/abstract/3AB7EAF2A297403DPQ/7
1920-1951 DP,http://www.proquest.com/hnpglobeandmail/docview/1325698070/abstract/3AB7EAF2A297403DPQ/9
1920-1951 DP,http://www.proquest.com/hnpglobeandmail/docview/1291446397/abstract/3AB7EAF2A297403DPQ/384
1920-1951 DP,http://www.proquest.com/hnpglobeandmail/docview/1313852062/abstract/4823ECD6C8014658PQ/4
1920-1951 DP,http://www.proquest.com/hnpglobeandmail/docview/1291310053/abstract/3AB7EAF2A297403DPQ/2
,
1952-1967 DP,http://www.proquest.com/hnpglobeandmail/docview/1288391835/abstract/EDDDE48181924811PQ/7
1952-1967 DP,http://www.proquest.com/hnpglobeandmail/docview/1313715508/abstract/EDDDE48181924811PQ/3
1952-1967 DP,http://www.proquest.com/hnpglobeandmail/docview/1288730434/abstract/EDDDE48181924811PQ/11
1952-1967 DP,http://www.proquest.com/hnpglobeandmail/docview/1291295108/abstract/EDDDE48181924811PQ/9
1952-1967 DP,http://www.proquest.com/hnpglobeandmail/docview/1287189092/abstract/EDDDE48181924811PQ/13
,
1968-1976 DP,http://www.proquest.com/hnpglobeandmail/docview/1242257052/abstract/714C848F6E914325PQ/10
1968-1976 DP,http://www.proquest.com/hnpglobeandmail/docview/1239753620/abstract/97D1B8C9A6D74E0APQ/1
,
1977-2001 DP,http://www.proquest.com/hnpglobeandmail/docview/1238440920/abstract/6FD1F926F3744998PQ/5
1977-2001 DP,http://www.proquest.com/hnpglobeandmail/docview/1136691129/abstract/6FD1F926F3744998PQ/2
1977-2001 DP,http://www.proquest.com/hnpglobeandmail/docview/1238204962/abstract/88DE98A3DB024256PQ/64
1977-2001 DP,http://www.proquest.com/hnpglobeandmail/docview/1151348424/abstract/88DE98A3DB024256PQ/7
1977-2001 DP,http://www.proquest.com/hnpglobeandmail/docview/1143160388/abstract/88DE98A3DB024256PQ/10
1977-2001 DP,http://www.proquest.com/hnpglobeandmail/docview/1222379804/abstract/6FD1F926F3744998PQ/45
,
2002-2017 DP,http://www.proquest.com/hnpglobeandmail/docview/2459666609/citation/AD388025F30841C5PQ/54
2002-2017 DP,http://www.proquest.com/hnpglobeandmail/docview/2122281371/abstract/AD388025F30841C5PQ/19
2002-2017 DP,http://www.proquest.com/hnpglobeandmail/docview/2122279956/abstract/AD388025F30841C5PQ/1
2002-2017 DP,http://www.proquest.com/hnpglobeandmail/docview/2459964104/abstract/AD388025F30841C5PQ/9
2002-2017 DP,http://www.proquest.com/hnpglobeandmail/docview/1411697642/citation/BC1960954FA0433BPQ/63
,
,
1844-1869 refugees,http://www.proquest.com/hnpglobeandmail/docview/1513737402/abstract/F6E1D41047C1443EPQ/667
1844-1869 refugees,http://www.proquest.com/hnpglobeandmail/docview/1518902747/abstract/6B2F4A0F98FF4707PQ/48
1844-1869 refugees,http://www.proquest.com/hnpglobeandmail/docview/1518904608/abstract/6B2F4A0F98FF4707PQ/1
1844-1869 refugees,http://www.proquest.com/hnpglobeandmail/docview/1510606657/citation/1D9A33EDEDE14430PQ/197
1844-1869 refugees,http://www.proquest.com/hnpglobeandmail/docview/1513714784/abstract/F3550F007F8E4C7BPQ/348
,
1870-1885 refugees,http://www.proquest.com/hnpglobeandmail/docview/1537104141/citation/9E1A8D6222CF4221PQ/362
1870-1885 refugees,http://www.proquest.com/hnpglobeandmail/docview/1532124904/abstract/9E1A8D6222CF4221PQ/2
1870-1885 refugees,http://www.proquest.com/hnpglobeandmail/docview/1519647442/abstract/9E1A8D6222CF4221PQ/39
1870-1885 refugees,http://www.proquest.com/hnpglobeandmail/docview/1527243096/abstract/9E1A8D6222CF4221PQ/567
1870-1885 refugees,http://www.proquest.com/hnpglobeandmail/docview/1527268713/abstract/9E1A8D6222CF4221PQ/219
1870-1885 refugees,http://www.proquest.com/hnpglobeandmail/docview/1532087779/abstract/9E1A8D6222CF4221PQ/38
,
1886-1906 refugees,http://www.proquest.com/hnpglobeandmail/docview/1649150574/abstract/A02A9765569F44E6PQ/1
1886-1906 refugees,http://www.proquest.com/hnpglobeandmail/docview/1354257801/abstract/D75882660096467CPQ/132
1886-1906 refugees,http://www.proquest.com/hnpglobeandmail/docview/1649145353/citation/ACE2E1320E8245E8PQ/72
1886-1906 refugees,http://www.proquest.com/hnpglobeandmail/docview/1354917598/abstract/ACE2E1320E8245E8PQ/50
,
1907-1919 refugees,http://www.proquest.com/hnpglobeandmail/docview/1354018778/abstract/D75882660096467CPQ/122
1907-1919 refugees,http://www.proquest.com/hnpglobeandmail/docview/1356193030/citation/5A648806921642F8PQ/20
,
1920-1951 refugees,http://www.proquest.com/hnpglobeandmail/docview/1323621215/abstract/EB554BCC351342AAPQ/798
1920-1951 refugees,http://www.proquest.com/hnpglobeandmail/docview/1289434219/abstract/BE3CA3D5FFD74D97PQ/7
1920-1951 refugees,http://www.proquest.com/hnpglobeandmail/docview/1325785526/abstract/EB554BCC351342AAPQ/199
1920-1951 refugees,http://www.proquest.com/hnpglobeandmail/docview/1353770580/abstract/E7BABE839F2149C9PQ/2994
1920-1951 refugees,http://www.proquest.com/hnpglobeandmail/docview/1353933313/abstract/EB554BCC351342AAPQ/10
1920-1951 refugees,http://www.proquest.com/hnpglobeandmail/docview/1412027221/abstract/C575703980F048C6PQ/25
,
1952-1967 refugees,http://www.proquest.com/hnpglobeandmail/docview/1289434219/abstract/BE3CA3D5FFD74D97PQ/7
1952-1967 refugees,http://www.proquest.com/hnpglobeandmail/docview/1288498924/citation/67F5763D26B34D0FPQ/386
1952-1967 refugees,http://www.proquest.com/hnpglobeandmail/docview/1316305306/abstract/BE3CA3D5FFD74D97PQ/183
1952-1967 refugees,http://www.proquest.com/hnpglobeandmail/docview/1270180399/abstract/BE3CA3D5FFD74D97PQ/150
